lon,lat,plastic_input_mid_tonnes,low,high
99.812,2.971,712.26,457.83,1537.07
113.479,-8.379,699.81,464.96,1458.62
100.263,-0.779,693.78,443.51,1505.47
120.579,14.821,676.1,446.48,1418.29
107.812,-6.196,672.2,441.74,1417.68
6.954,4.746,645.27,422.2,1367.45
93.304,20.204,638.22,429.38,1311.37
-41.038,-21.621,637.59,426.76,1319.7
102.121,1.121,624.3,397.9,1359.58
120.388,16.121,615.99,411.35,1276.58
102.554,2.054,613.51,392.81,1330.25
